"genes"	"modules"
"C1orf226"	"M5"
"ASPN"	"M3"
"TNFRSF19"	"M3"
"MGC29506"	"M4"
"SLC4A3"	"M5"
"TPPP"	"M1"
"IDO1"	"M4"
"PLAC2"	"M1"
"C9orf167"	"M6"
"THNSL2"	"Not.Correlated"
"C15orf48"	"M1"
"P2RY1"	"M1"
"SOX7"	"M1"
"NMB"	"M2"
"CCL21"	"M4"
"MT1E"	"M2"
"EGR2"	"M3"
"AIF1L"	"M2"
"PALM"	"M1"
"CREB3L1"	"M3"
"LASS3"	"M1"
"SUSD2"	"M6"
"GPR126"	"M2"
"SLC16A14"	"M2"
"FAM171B"	"M2"
"SRRM3"	"M1"
"COL8A1"	"M3"
"SHISA2"	"M3"
"CLEC2B"	"M1"
"FNDC1"	"M3"
"TPPP3"	"M6"
"MME"	"M3"
"STEAP4"	"M6"
"CHST10"	"M5"
"SLC29A4"	"M2"
"SEMA6D"	"M5"
"PHLDA2"	"M1"
"LY6K"	"M1"
"CD36"	"M6"
"SELENBP1"	"M6"
"CHL1"	"M6"
"ADM2"	"M2"
"PDE4B"	"M4"
"DIAPH2"	"M2"
"CLIC6"	"M6"
"EMID1"	"M1"
"ZNF320"	"M2"
"CPXM1"	"M3"
"VSIG4"	"M4"
"SLFN13"	"M4"
"COCH"	"M2"
"PDZK1IP1"	"M1"
"CEL"	"M2"
"NKD2"	"M3"
"ACSL5"	"M4"
"FBP1"	"M4"
"MRC1"	"M4"
"SGPP2"	"M5"
"ITGA11"	"M3"
"VTCN1"	"M1"
"BAMBI"	"M1"
"HIST1H2BD"	"M3"
"SEMA5A"	"M3"
"CDKN2A"	"Not.Correlated"
"MOSC1"	"M2"
"ALG1L"	"M5"
"TMEM119"	"M3"
"TBX1"	"M4"
"IFI44L"	"M4"
"ARSJ"	"M1"
"IL33"	"M6"
"FOXC1"	"M5"
"WDR76"	"M2"
"HOXB7"	"M5"
"KLK10"	"M1"
"DLX5"	"M5"
"UBASH3B"	"M3"
"LAMC3"	"M6"
"APOD"	"M3"
"PLA2G4A"	"M1"
"MDGA1"	"M2"
"C11orf92"	"M2"
"GCNT1"	"M3"
"RASSF9"	"M5"
"KIRREL"	"M3"
"ITGAL"	"M4"
"NDN"	"M3"
"SPEG"	"M4"
"MACC1"	"M1"
"ITGBL1"	"M3"
"CABYR"	"M2"
"SV2A"	"M1"
"GLI2"	"M2"
"SDR42E1"	"Not.Correlated"
"HLA-DQA2"	"M4"
"SLC9A9"	"M5"
"IVL"	"M1"
"PRSS12"	"M1"
"LAMA1"	"M2"
"TMEM40"	"M1"
"HSPA2"	"M2"
"SOCS1"	"M5"
"PLEK2"	"M2"
"LILRB4"	"M4"
"GJA5"	"M3"
"GJC1"	"M1"
"PCDH19"	"M5"
"ARHGAP28"	"M2"
"ZNF853"	"M1"
"PCLO"	"M4"
"ZDBF2"	"M2"
"HOXB3"	"Not.Correlated"
