,logFC,t,P.Value,adj.P.Val,B,direction
CYYR1,-2.50186865846174,-19.612500184551,5.62727943689942e-57,1.88210853781836e-54,119.025682807245,down
MYCT1,-2.57710867271125,-19.5347115503145,1.13170743976294e-56,3.69049796106696e-54,118.302887002162,down
FHL1,-3.97105117470668,-19.5318852701451,1.16080926824043e-56,3.69307221827516e-54,118.288143899431,down
TMEM177,1.90249747688323,19.5186230511919,1.30769092347667e-56,4.0613143823404e-54,118.154179995998,up
NECAB1,-3.78078203155943,-19.4838270882864,1.78764174206099e-56,5.42279043801013e-54,117.495344897507,down
SRPK1,1.64036070971527,19.4346609032962,2.78076468508556e-56,8.21300071111195e-54,117.357273299602,up
JAM2,-2.71597495482967,-19.4325755964938,2.8333719104572e-56,8.21300071111195e-54,117.285370121028,down
TIE1,-2.44639666881979,-19.3901886485514,4.14727982396635e-56,1.17602430486559e-53,117.022571552571,down
LYVE1,-3.74439793652036,-19.3768845499429,4.67415001186396e-56,1.29722580329263e-53,116.869403331394,down
GIMAP7,-2.40927073063723,-19.3398980441319,6.5179818387659e-56,1.77126156468463e-53,116.589328203342,down
FEZ1,-2.46352078327969,-19.3201256480236,7.78612826017012e-56,2.07269912297263e-53,116.376889122785,down
RAMP3,-3.2907947808378,-19.2908267113382,1.01330668253903e-55,2.64351447340782e-53,116.149789133672,down
EMP2,-2.92071389697585,-19.275751804471,1.16042518071579e-55,2.96795805044249e-53,115.963086392561,down
PTPN21,-2.74027979299473,-19.2380523850759,1.62880905176302e-55,4.08580485984553e-53,115.666074728993,down
GLIPR2,-2.51984756366898,-19.1910247899937,2.48649844418701e-55,6.11960107659913e-53,115.201191765003,down
FAM107A,-5.04403392987536,-19.1642542307388,3.16361969119441e-55,7.64189912072962e-53,114.95510102382,down
GIMAP4,-2.06181664965017,-19.1514584552569,3.54962609521904e-55,8.41842232473403e-53,114.850964277512,down
AGER,-6.84061245460264,-19.1446923459169,3.77243263733763e-55,8.78707345025572e-53,114.839893830262,down
MFNG,-1.98656295315593,-19.1343703727698,4.13958021405682e-55,9.47310251090476e-53,114.738488739738,down
RASIP1,-2.79126619897635,-19.0845210871959,6.48292562940429e-55,1.45798761913706e-52,114.304489591203,down
LMO2,-2.15499889768616,-19.0545022670456,8.49381555760339e-55,1.87639960348091e-52,114.035775411901,down
PRX,-3.66986127301967,-19.052720917462,8.6310929322949e-55,1.87639960348091e-52,114.017890193752,down
FLI1,-2.0710304217316,-19.0449155877979,9.25925126642026e-55,1.97996186097026e-52,113.926960635648,down
GRK5,-2.81323732654476,-19.0392582416284,9.74294460336927e-55,2.04978982913466e-52,113.887068555591,down
EPAS1,-2.73266241866711,-19.0159230387277,1.2020181504851e-54,2.48874996109962e-52,113.641340824475,down
NLRC4,-2.58776170130604,-18.9971081683757,1.42385630845112e-54,2.90199713866193e-52,113.387795200827,down
CLEC1A,-2.64057071395456,-18.9763215758182,1.71685922776726e-54,3.44534027184555e-52,112.960565213917,down
MGAT3,-3.79272094190711,-18.8584369580167,4.96272941495209e-54,9.80815795282349e-52,112.250793462053,down
SDPR,-3.90514559811856,-18.8445527869115,5.62373459028806e-54,1.09486558202563e-51,112.095970902409,down
STARD13,-2.14218652541686,-18.7493722515169,1.32541824846723e-53,2.54246406367744e-51,111.300612186698,down
MS4A7,-2.629825608743,-18.7424250013425,1.41101905403214e-53,2.66743949866597e-51,111.171469492135,down
CLEC14A,-2.58666275937672,-18.7084014886332,1.91712682582766e-53,3.57242890229943e-51,110.909773385303,down
ERG,-2.37122878595884,-18.6984496653414,2.09695795821167e-53,3.85249571928353e-51,110.839446348042,down
