genes modules
700 CA12 M4
701 TFPI2 M4
702 FUT2 M1
703 MT1X M1
704 NRGN M1
705 MATN2 M1
706 LPAR1 M4
707 CCL21 Not.Correlated
708 SGPP2 M1
709 HP M1
710 HIST1H2BD M1
711 FAP M3
712 CEP55 M1
713 UBE2T M1
714 PDPN M3
715 EPN3 M2
716 FAM176A M1
717 C11orf9 Not.Correlated
718 MANEAL M2
719 B3GNT8 M1
720 RICH2 M1
721 DUOX1 M1
722 CLIC5 M1
723 BOP1 M1
724 SIGLEC1 M2
725 CCNA2 M1
726 OLR1 M2
727 PDZD2 M1
728 CFD M1
729 C7orf68 M1
730 KIF20A M1
731 ADM2 Not.Correlated
732 TRIP13 M1
733 SPINK1 M1
734 CDC6 M1
735 PLXNB3 M3
736 REEP6 M1
737 KIFC1 M1
738 KIF2C M1
739 ATOH8 M1
740 ITGB8 M4
741 COMP M1
742 C20orf114 M1
743 TPSAB1 M1
744 CBLC M4
745 AGER M1
746 ASPM M1
747 TMEM45A M1
748 COL8A2 M3
749 PELI2 M1
750 CDT1 M1
751 GRAMD2 M1
752 KIF26B M3
753 PLK1 M1
754 ANKRD22 M2
755 MARCO M2
756 CHST3 M4
757 EFS M4
758 CDCA5 M1
759 C21orf63 M1
760 PLEKHH2 M1
761 HBB M1
762 GBP5 M1
763 LEPREL1 M1
764 PMAIP1 M1
765 RCAN2 M1
766 SMOC2 M1
767 IL18 M2
768 ITGA11 M3
769 ADAM28 Not.Correlated
770 SALL2 M4
771 MGC29506 Not.Correlated
772 ANO1 M3
773 IDO1 M1
774 CCDC64 M4
775 CCNB2 M1
776 HLA-DQB2 M2
777 FOXA2 M1
778 GJB2 M1
779 IGF2BP2 M1
780 SRPX2 M3
781 CPAMD8 M1
782 INHBB M3
783 RARRES1 M1
784 IL33 M1
785 MAD2L1 M1
786 IQGAP2 M1
787 ABAT M1
788 PCSK6 Not.Correlated
789 AXIN2 M1
790 RGNEF M1
791 HS3ST1 M4
792 BAIAP3 M1
793 GCNT1 Not.Correlated
794 DAPK2 M1
795 ADH1B M1
796 HSPA6 M1
797 LEPR M1
798 VWA2 M1
799 BDKRB2 M2
800 NCAPG M1
801 BAG2 M4
802 SLC22A17 M1
803 SPTB M4
804 FGA M2
805 GPR110 M2
806 FOXQ1 M1
807 RSAD2 M2
808 ECHDC3 M1
809 KIAA0101 M1
810 VANGL2 Not.Correlated
811 KIF4A M1
812 CDCA8 M1
813 KIF23 M1
814 EPHA1 Not.Correlated
815 SEMA5A M1
816 FBXO2 M1
817 TMEM92 M1
818 PLCB1 M2
819 PTGIS M1
820 RRAD M1
821 ASF1B M1
822 PIR M4
823 TPPP M1
824 CACNB1 M1
825 CYP2S1 M1
826 GSDMB M2
827 PANX2 M4
828 SOCS2 M1
829 CD36 M1
830 GPC3 M1
831 CA2 M1
832 NOS3 M4
833 HEY1 Not.Correlated
834 TRNP1 Not.Correlated
835 CXCL10 M1
836 ACSM3 M1
837 PLCD3 M1
838 CYP24A1 M2
839 BZRAP1 M1
840 CACHD1 M1
841 UBXN10 M1
