,logFC,t,P.Value,adj.P.Val,B,direction
MCM8,2.85798801070253,25.8376482470403,4.48809187006265e-82,3.2344016769667e-80,176.551844034753,up
DNA2,3.21227328934691,25.8272739096395,4.91240218303904e-82,3.52073483931655e-80,176.461673785837,up
ERCC6L,4.47399048326495,25.7970778298139,6.39020312254222e-82,4.5548529798055e-80,176.199151406827,up
NPR1,-4.59836155707965,-25.791299541828,6.72011690196904e-82,4.76397852550457e-80,176.148903853335,down
TCF21,-5.33054680234326,-25.7594707256295,8.8680889563348e-82,6.25272174845574e-80,175.872056369758,down
ECT2,3.35577613121848,25.7081590076276,1.38712960797257e-81,9.72780570236247e-80,175.425509662536,up
BLM,3.40779616414919,25.6299363168911,2.74500261681283e-81,1.91474941891479e-79,174.744206366473,up
KNTC1,2.81629658406696,25.5723787981269,4.53778855607529e-81,3.14845286837479e-79,174.242461657211,up
OSCAR,-3.70357623219285,-25.5641907071661,4.87430264382716e-81,3.36404252307309e-79,174.171054229152,down
DUSP9,7.31600569162226,25.4592893420468,1.2196170095037e-80,8.37299172208751e-79,173.255571248158,up
FEN1,2.49178189533984,25.3815920709003,2.40755361125789e-80,1.64419525158366e-78,172.576726430689,up
GINS4,3.78195484777123,25.2660198496688,6.62870380641919e-80,4.50337564848604e-78,171.56575480414,up
CDKN3,4.2252153498178,25.2612048973845,6.91460318495113e-80,4.67326859816075e-78,171.523604547816,up
IL3RA,-3.0382114864327,-25.2563652713108,7.21441259529542e-80,4.85076277799142e-78,171.481235779194,down
KANK2,-2.90818597863849,-25.2035766766035,1.14640770499131e-79,7.66858569431111e-78,171.018931506002,down
COL7A1,6.73213628427474,25.2004828966007,1.17796183849204e-79,7.83945623535212e-78,170.991827960829,up
CENPM,3.72998664212669,25.1952614539274,1.23320156702896e-79,8.16542194940391e-78,170.946082363358,up
ARRB1,-3.5608800297312,-25.1891651286433,1.30098819331569e-79,8.57075252202515e-78,170.892668128231,down
CD93,-3.41791563411338,-25.1345867196045,2.100893391388e-79,1.37708811041533e-77,170.414290558244,down
E2F8,4.23146583403658,25.1079318585814,2.65522003528698e-79,1.73173450701417e-77,170.180546019469,up
NLRC4,-3.37662150628673,-25.1013855264704,2.81243061978076e-79,1.82514154250847e-77,170.123127657152,down
ASF1B,3.55771463604121,25.0982249210308,2.89163609718504e-79,1.86725253721196e-77,170.095404117969,up
FAM105A,-3.34709718585426,-25.091618216289,3.06449063898996e-79,1.96912393571355e-77,170.037449365396,down
DQX1,6.90645992408732,25.0863801767542,3.20886057437168e-79,2.05178320255413e-77,169.991497391929,up
RHOJ,-3.03429067278725,-25.0649898542308,3.87263507808234e-79,2.46412936382956e-77,169.803815275028,down
